Chidamber-Kemerer metrics,jeu., 20 oct. 2022 17:15:06 HAE
Class,CBO,DIT,LCOM,NOC,RFC,WMC
org.jfree.chart.plot.DatasetRenderingOrder,3,n/a,2,n/a,2,0
org.jfree.chart.plot.DefaultDrawingSupplier,12,1,2,0,35,44
org.jfree.chart.plot.DefaultDrawingSupplierTest,3,1,3,0,19,3
org.jfree.chart.plot.DialShape,2,n/a,2,n/a,2,0
org.jfree.chart.plot.DrawingSupplier,n/a,n/a,n/a,n/a,6,n/a
org.jfree.chart.plot.FastScatterPlot,25,2,5,0,119,98
org.jfree.chart.plot.FastScatterPlotTest,7,1,4,0,32,7
org.jfree.chart.plot.IntervalMarker,10,2,3,0,19,17
org.jfree.chart.plot.IntervalMarkerTest,9,1,4,0,23,6
org.jfree.chart.plot.Marker,27,1,2,3,63,57
org.jfree.chart.plot.MarkerTest,11,1,3,0,65,15
org.jfree.chart.plot.MeterInterval,8,1,5,0,22,17
org.jfree.chart.plot.MeterIntervalTest,3,1,3,0,11,3
org.jfree.chart.plot.MeterPlot,21,2,3,0,142,117
org.jfree.chart.plot.MeterPlotTest,7,1,3,0,41,4
org.jfree.chart.plot.MyPlotChangeListener,4,1,1,0,4,4
org.jfree.chart.plot.Pannable,n/a,n/a,n/a,n/a,5,n/a
org.jfree.chart.plot.Plot,102,1,8,13,136,154
org.jfree.chart.plot.PlotOrientation,102,n/a,4,n/a,5,2
org.jfree.chart.plot.PlotOrientationTest,2,1,1,0,6,2
org.jfree.chart.plot.PlotRenderingInfo,103,1,3,0,32,25
org.jfree.chart.plot.PlotRenderingInfoTest,4,1,3,0,21,3
org.jfree.chart.plot.PlotState,20,1,1,0,3,2
org.jfree.chart.plot.PlotTest,5,1,1,0,23,1
org.jfree.chart.plot.PolarAxisLocation,1,n/a,2,n/a,2,0
org.jfree.chart.plot.PolarPlot,44,2,13,0,218,221
org.jfree.chart.plot.PolarPlotTest,14,1,7,0,66,8
org.jfree.chart.plot.RingPlot,25,3,2,0,111,62
org.jfree.chart.plot.RingPlotTest,4,1,1,0,26,3
org.jfree.chart.plot.SeriesRenderingOrder,1,n/a,2,n/a,2,0
org.jfree.chart.plot.SpiderWebPlot,29,2,2,0,177,127
org.jfree.chart.plot.SpiderWebPlotTest,12,1,3,0,62,5
org.jfree.chart.plot.ThermometerPlot,27,2,10,0,161,153
org.jfree.chart.plot.ThermometerPlotTest,4,1,3,0,32,4
org.jfree.chart.plot.ValueAxisPlot,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.plot.ValueMarker,9,2,1,0,11,10
org.jfree.chart.plot.ValueMarkerTest,10,1,4,0,43,7
org.jfree.chart.plot.WaferMapPlot,15,2,4,0,52,33
org.jfree.chart.plot.XYCrosshairState,1,2,0,0,1,1
org.jfree.chart.plot.XYPlot,130,2,6,2,462,645
org.jfree.chart.plot.XYPlotTest,41,1,33,0,196,47
org.jfree.chart.plot.Zoomable,n/a,n/a,n/a,n/a,9,n/a
org.jfree.chart.plot.compass.ArrowNeedle,5,2,1,1,26,12
org.jfree.chart.plot.compass.ArrowNeedleTest,3,1,3,0,11,3
org.jfree.chart.plot.compass.CompassPlot,25,2,6,0,99,87
org.jfree.chart.plot.compass.CompassPlotTest,4,1,2,0,21,3
org.jfree.chart.plot.compass.LineNeedle,4,2,1,0,19,7
org.jfree.chart.plot.compass.LineNeedleTest,3,1,3,0,9,3
org.jfree.chart.plot.compass.LongNeedle,3,2,1,0,33,12
org.jfree.chart.plot.compass.LongNeedleTest,3,1,3,0,10,3
org.jfree.chart.plot.compass.MeterNeedle,14,1,5,8,53,40
org.jfree.chart.plot.compass.MeterNeedleTest,2,1,1,0,12,1
org.jfree.chart.plot.compass.MiddlePinNeedle,3,2,1,0,24,9
org.jfree.chart.plot.compass.MiddlePinNeedleTest,3,1,3,0,9,3
org.jfree.chart.plot.compass.PinNeedle,3,2,1,0,24,9
org.jfree.chart.plot.compass.PinNeedleTest,3,1,3,0,9,3
org.jfree.chart.plot.compass.PlumNeedle,3,2,1,0,24,8
org.jfree.chart.plot.compass.PlumNeedleTest,3,1,3,0,9,3
org.jfree.chart.plot.compass.PointerNeedle,3,2,1,0,30,11
org.jfree.chart.plot.compass.PointerNeedleTest,3,1,3,0,9,3
org.jfree.chart.plot.compass.ShipNeedle,3,2,1,0,23,8
org.jfree.chart.plot.compass.ShipNeedleTest,3,1,3,0,9,3
org.jfree.chart.plot.compass.WindNeedle,4,3,1,0,15,8
org.jfree.chart.plot.compass.WindNeedleTest,3,1,3,0,10,3
org.jfree.chart.plot.dial.AbstractDialLayer,27,1,1,9,22,15
org.jfree.chart.plot.dial.AbstractDialLayerTest,5,1,3,0,17,3
org.jfree.chart.plot.dial.ArcDialFrame,11,2,3,0,59,36
org.jfree.chart.plot.dial.ArcDialFrameTest,5,1,4,0,29,4
org.jfree.chart.plot.dial.DialBackground,13,2,2,0,30,18
org.jfree.chart.plot.dial.DialBackgroundTest,7,1,1,0,26,4
org.jfree.chart.plot.dial.DialCap,12,2,2,0,43,23
org.jfree.chart.plot.dial.DialCapTest,5,1,2,0,27,4
org.jfree.chart.plot.dial.DialFrame,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.plot.dial.DialLayer,n/a,n/a,n/a,n/a,6,n/a
org.jfree.chart.plot.dial.DialLayerChangeEvent,17,3,1,0,3,2
org.jfree.chart.plot.dial.DialLayerChangeListener,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.plot.dial.DialPlot,27,2,6,0,91,80
org.jfree.chart.plot.dial.DialPlotTest,11,1,4,0,41,10
org.jfree.chart.plot.dial.DialPointer,9,2,3,2,15,14
org.jfree.chart.plot.dial.DialPointer.Pin,10,3,1,0,42,15
org.jfree.chart.plot.dial.DialPointer.Pointer,10,3,1,0,48,18
org.jfree.chart.plot.dial.DialPointerTest,7,1,6,0,31,7
org.jfree.chart.plot.dial.DialScale,n/a,n/a,n/a,n/a,2,n/a
org.jfree.chart.plot.dial.DialTextAnnotation,12,2,2,0,48,29
org.jfree.chart.plot.dial.DialTextAnnotationTest,5,1,3,0,27,4
org.jfree.chart.plot.dial.DialValueIndicator,15,2,2,0,90,60
org.jfree.chart.plot.dial.DialValueIndicatorTest,8,1,4,0,37,4
org.jfree.chart.plot.dial.MyDialLayerChangeListener,12,1,1,0,2,2
org.jfree.chart.plot.dial.StandardDialFrame,11,2,2,0,47,24
org.jfree.chart.plot.dial.StandardDialFrameTest,5,1,4,0,26,4
org.jfree.chart.plot.dial.StandardDialRange,11,2,2,0,44,34
org.jfree.chart.plot.dial.StandardDialRangeTest,5,1,4,0,24,4
org.jfree.chart.plot.dial.StandardDialScale,12,2,2,0,82,81
org.jfree.chart.plot.dial.StandardDialScaleTest,5,1,3,0,42,6
org.jfree.chart.plot.flow.FlowPlot,22,2,2,0,120,88
org.jfree.chart.plot.flow.FlowPlotTest,8,1,2,0,41,15
org.jfree.chart.plot.pie.AbstractPieLabelDistributor,4,1,2,1,12,5
org.jfree.chart.plot.pie.MultiplePiePlot,33,2,2,0,106,61
org.jfree.chart.plot.pie.MultiplePiePlotTest,12,1,5,0,41,6
org.jfree.chart.plot.pie.PieLabelDistributor,3,2,1,0,24,26
org.jfree.chart.plot.pie.PieLabelLinkStyle,4,n/a,2,n/a,2,0
org.jfree.chart.plot.pie.PieLabelRecord,5,1,7,0,19,29
org.jfree.chart.plot.pie.PieLabelRecordTest,3,1,3,0,11,3
org.jfree.chart.plot.pie.PiePlot,50,2,2,1,320,293
org.jfree.chart.plot.pie.PiePlotState,4,2,10,0,22,21
org.jfree.chart.plot.pie.PiePlotTest,16,1,14,0,108,16
org.jfree.chart.plot.pie.PiePlotTest.NullLegendLabelGenerator,3,1,2,0,2,2
org.jfree.chart.renderer.AbstractRenderer,94,1,5,4,219,310
org.jfree.chart.renderer.AbstractRendererTest,16,1,3,0,109,14
org.jfree.chart.renderer.AbstractRendererTest.MyRendererChangeListener,3,1,1,0,2,2
org.jfree.chart.renderer.AbstractRendererTest.TestRenderer,3,4,1,0,2,1
org.jfree.chart.renderer.AreaRendererEndType,3,n/a,2,n/a,2,0
org.jfree.chart.renderer.AreaRendererEndTypeTest,2,1,1,0,5,2
org.jfree.chart.renderer.DefaultPolarItemRenderer,29,2,1,0,132,88
org.jfree.chart.renderer.DefaultPolarItemRendererTest,4,1,4,0,15,4
org.jfree.chart.renderer.GrayPaintScale,6,1,1,0,16,17
org.jfree.chart.renderer.GrayPaintScaleTest,3,1,5,0,21,5
org.jfree.chart.renderer.LookupPaintScale,12,1,1,0,28,28
org.jfree.chart.renderer.LookupPaintScale.PaintItem,3,1,1,0,10,11
org.jfree.chart.renderer.LookupPaintScaleTest,3,1,1,0,23,6
org.jfree.chart.renderer.NotOutlierException,0,3,0,0,2,1
org.jfree.chart.renderer.Outlier,5,1,1,0,15,17
org.jfree.chart.renderer.OutlierList,4,1,2,0,18,11
org.jfree.chart.renderer.OutlierListCollection,4,1,3,0,17,12
org.jfree.chart.renderer.OutlierTest,1,1,4,0,15,4
org.jfree.chart.renderer.PaintScale,n/a,n/a,n/a,n/a,3,n/a
org.jfree.chart.renderer.PolarItemRenderer,n/a,n/a,n/a,n/a,15,n/a
org.jfree.chart.renderer.RendererChangeDetector,4,1,1,0,4,4
org.jfree.chart.renderer.RendererState,32,1,2,3,7,7
org.jfree.chart.renderer.RendererUtils,5,1,1,0,10,32
org.jfree.chart.renderer.RendererUtilsTest,5,1,5,0,17,11
org.jfree.chart.renderer.WaferMapRenderer,8,2,1,0,46,45
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,79,2,10,8,204,163
org.jfree.chart.renderer.category.AbstractCategoryItemRendererTest,13,1,11,0,56,11
org.jfree.chart.renderer.category.AreaRenderer,22,3,2,1,67,30
org.jfree.chart.renderer.category.AreaRendererTest,13,1,6,0,35,6
org.jfree.chart.renderer.category.BarPainter,n/a,n/a,n/a,n/a,2,n/a
org.jfree.chart.renderer.category.BarRenderer,50,3,7,5,162,134
org.jfree.chart.renderer.category.BarRendererTest,20,1,7,0,67,9
org.jfree.chart.renderer.category.BoxAndWhiskerRenderer,27,3,3,0,137,101
org.jfree.chart.renderer.category.BoxAndWhiskerRendererTest,16,1,16,0,70,22
org.jfree.chart.renderer.category.CategoryItemRenderer,n/a,n/a,n/a,n/a,135,n/a
org.jfree.chart.renderer.category.CategoryItemRendererState,25,2,4,1,13,16
org.jfree.chart.renderer.category.CategoryStepRenderer,18,3,3,0,56,28
org.jfree.chart.renderer.category.CategoryStepRenderer.State,3,3,0,0,3,1
org.jfree.chart.renderer.category.CategoryStepRendererTest,10,1,5,0,28,5
org.jfree.chart.renderer.category.DefaultCategoryItemRenderer,3,4,0,0,0,0
org.jfree.chart.renderer.category.DefaultCategoryItemRendererTest,5,1,5,0,15,5
org.jfree.chart.renderer.category.GanttRenderer,23,5,2,0,68,55
org.jfree.chart.renderer.category.GanttRendererTest,4,1,3,0,22,5
org.jfree.chart.renderer.category.GradientBarPainter,9,1,1,0,34,31
org.jfree.chart.renderer.category.GradientBarPainterTest,3,1,4,0,11,4
org.jfree.chart.renderer.category.GroupedStackedBarRenderer,23,5,1,0,56,32
org.jfree.chart.renderer.category.GroupedStackedBarRendererTest,11,1,6,0,32,6
org.jfree.chart.renderer.category.IntervalBarRenderer,19,4,2,1,36,19
org.jfree.chart.renderer.category.IntervalBarRendererTest,13,1,7,0,32,7
org.jfree.chart.renderer.category.LayeredBarRenderer,17,4,2,0,67,55
org.jfree.chart.renderer.category.LayeredBarRendererTest,11,1,6,0,29,6
org.jfree.chart.renderer.category.LevelRenderer,18,3,1,0,69,35
org.jfree.chart.renderer.category.LevelRendererTest,11,1,7,0,36,8
org.jfree.chart.renderer.category.LineAndShapeRenderer,27,3,2,2,100,80
org.jfree.chart.renderer.category.LineAndShapeRendererTest,13,1,7,0,48,20
org.jfree.chart.renderer.category.MinMaxCategoryRenderer,16,3,2,0,54,47
org.jfree.chart.renderer.category.MinMaxCategoryRendererTest,10,1,6,0,31,6
org.jfree.chart.renderer.category.ScatterRenderer,17,3,2,0,84,53
org.jfree.chart.renderer.category.ScatterRendererTest,8,1,6,0,33,11
org.jfree.chart.renderer.category.StackedAreaRenderer,18,4,2,0,46,40
org.jfree.chart.renderer.category.StackedAreaRendererTest,7,1,6,0,25,6
org.jfree.chart.renderer.category.StackedBarRenderer,25,4,2,1,57,37
org.jfree.chart.renderer.category.StackedBarRendererTest,7,1,6,0,25,6
org.jfree.chart.renderer.category.StandardBarPainter,8,1,2,0,25,21
org.jfree.chart.renderer.category.StandardBarPainterTest,3,1,4,0,10,4
org.jfree.chart.renderer.category.StatisticalBarRenderer,22,4,2,0,56,54
org.jfree.chart.renderer.category.StatisticalBarRendererTest,14,1,10,0,41,11
org.jfree.chart.renderer.category.StatisticalLineAndShapeRenderer,21,4,2,0,71,45
org.jfree.chart.renderer.category.StatisticalLineAndShapeRendererTest,12,1,8,0,38,8
org.jfree.chart.renderer.category.WaterfallBarRenderer,24,4,2,0,64,41
org.jfree.chart.renderer.category.WaterfallBarRendererTest,5,1,5,0,25,6
org.jfree.chart.renderer.xy.AbstractXYItemRenderer,85,2,11,18,209,169
org.jfree.chart.renderer.xy.AbstractXYItemRendererTest,11,1,7,0,39,8
org.jfree.chart.renderer.xy.CandlestickRenderer,25,3,2,0,84,77
org.jfree.chart.renderer.xy.CandlestickRendererTest,9,1,6,0,43,7
org.jfree.chart.renderer.xy.ClusteredXYBarRenderer,21,4,2,0,53,33
org.jfree.chart.renderer.xy.ClusteredXYBarRendererTest,8,1,6,0,26,7
org.jfree.chart.renderer.xy.CyclicXYItemRenderer,12,4,1,0,18,36
org.jfree.chart.renderer.xy.CyclicXYItemRenderer.OverwriteDataSet,6,1,5,0,16,15
org.jfree.chart.renderer.xy.DefaultXYItemRenderer,2,4,0,0,0,0
org.jfree.chart.renderer.xy.DeviationRenderer,20,4,4,1,51,28
org.jfree.chart.renderer.xy.DeviationRenderer.State,4,4,0,0,3,1
org.jfree.chart.renderer.xy.DeviationRendererTest,4,1,5,0,17,5
org.jfree.chart.renderer.xy.DeviationStepRenderer,17,5,1,0,48,31
org.jfree.chart.renderer.xy.DeviationStepRendererTest,5,1,5,0,17,5
org.jfree.chart.renderer.xy.GradientXYBarPainter,9,1,1,0,33,31
org.jfree.chart.renderer.xy.GradientXYBarPainterTest,3,1,4,0,11,4
org.jfree.chart.renderer.xy.HighLowRenderer,21,3,2,0,53,48
org.jfree.chart.renderer.xy.HighLowRendererTest,9,1,6,0,30,6
org.jfree.chart.renderer.xy.RendererXYPackageUtils,9,1,2,0,8,2
org.jfree.chart.renderer.xy.SamplingXYLineRenderer,16,3,2,0,43,20
org.jfree.chart.renderer.xy.SamplingXYLineRenderer.State,4,3,1,0,5,2
org.jfree.chart.renderer.xy.StackedXYAreaRenderer,24,4,4,0,86,55
org.jfree.chart.renderer.xy.StackedXYAreaRenderer.StackedXYAreaRendererState,3,3,4,0,11,8
org.jfree.chart.renderer.xy.StackedXYAreaRenderer2,21,4,2,0,47,44
org.jfree.chart.renderer.xy.StackedXYAreaRenderer2Test,15,1,6,0,35,7
org.jfree.chart.renderer.xy.StackedXYAreaRendererTest,16,1,8,0,39,8
org.jfree.chart.renderer.xy.StackedXYBarRenderer,24,4,3,0,56,43
org.jfree.chart.renderer.xy.StackedXYBarRendererTest,14,1,6,0,32,7
org.jfree.chart.renderer.xy.StandardXYBarPainter,8,1,2,0,24,21
org.jfree.chart.renderer.xy.StandardXYBarPainterTest,3,1,4,0,10,4
org.jfree.chart.renderer.xy.StandardXYItemRenderer,33,3,1,1,117,91
org.jfree.chart.renderer.xy.StandardXYItemRenderer.State,3,3,2,0,6,5
org.jfree.chart.renderer.xy.StandardXYItemRendererTest,18,1,6,0,58,7
org.jfree.chart.renderer.xy.VectorRenderer,18,3,2,0,40,30
org.jfree.chart.renderer.xy.VectorRendererTest,5,1,5,0,17,5
org.jfree.chart.renderer.xy.WindItemRenderer,14,3,1,0,25,3
org.jfree.chart.renderer.xy.WindItemRendererTest,4,1,5,0,15,5
org.jfree.chart.renderer.xy.XYAreaRenderer,30,3,3,1,102,68
org.jfree.chart.renderer.xy.XYAreaRenderer.XYAreaRendererState,3,3,0,0,4,1
org.jfree.chart.renderer.xy.XYAreaRenderer2,26,3,2,1,80,32
org.jfree.chart.renderer.xy.XYAreaRenderer2Test,11,1,7,0,40,7
org.jfree.chart.renderer.xy.XYAreaRendererTest,13,1,7,0,44,7
org.jfree.chart.renderer.xy.XYBarPainter,n/a,n/a,n/a,n/a,2,n/a
org.jfree.chart.renderer.xy.XYBarRenderer,40,3,7,2,143,125
org.jfree.chart.renderer.xy.XYBarRenderer.XYBarRendererState,4,3,1,0,4,3
org.jfree.chart.renderer.xy.XYBarRendererTest,25,1,9,0,74,11
org.jfree.chart.renderer.xy.XYBlockRenderer,21,3,1,0,58,50
org.jfree.chart.renderer.xy.XYBlockRendererTest,11,1,9,0,39,9
org.jfree.chart.renderer.xy.XYBoxAndWhiskerRenderer,25,3,2,0,95,65
org.jfree.chart.renderer.xy.XYBoxAndWhiskerRendererTest,9,1,6,0,34,6
org.jfree.chart.renderer.xy.XYBubbleRenderer,20,3,2,0,61,30
org.jfree.chart.renderer.xy.XYBubbleRendererTest,10,1,6,0,28,6
org.jfree.chart.renderer.xy.XYDifferenceRenderer,28,3,4,0,107,92
org.jfree.chart.renderer.xy.XYDifferenceRendererTest,11,1,3,0,38,7
org.jfree.chart.renderer.xy.XYDotRenderer,19,3,2,0,55,30
org.jfree.chart.renderer.xy.XYDotRendererTest,11,1,6,0,33,6
org.jfree.chart.renderer.xy.XYErrorRenderer,16,4,3,0,48,35
org.jfree.chart.renderer.xy.XYErrorRendererTest,5,1,7,0,30,9
org.jfree.chart.renderer.xy.XYItemRenderer,n/a,n/a,n/a,n/a,132,n/a
org.jfree.chart.renderer.xy.XYItemRendererState,40,2,3,6,9,7
org.jfree.chart.renderer.xy.XYLineAndShapeRenderer,39,3,3,6,122,107
org.jfree.chart.renderer.xy.XYLineAndShapeRenderer.State,9,3,1,2,8,4
org.jfree.chart.renderer.xy.XYLineAndShapeRendererTest,19,1,8,0,64,9
org.jfree.chart.renderer.xy.XYShapeRenderer,24,3,5,0,80,52
org.jfree.chart.renderer.xy.XYShapeRendererTest,8,1,4,0,36,5
org.jfree.chart.renderer.xy.XYSplineRenderer,16,4,2,0,51,46
org.jfree.chart.renderer.xy.XYSplineRenderer.FillType,2,n/a,2,n/a,2,0
org.jfree.chart.renderer.xy.XYSplineRenderer.XYSplineState,3,4,0,0,4,1
org.jfree.chart.renderer.xy.XYSplineRendererTest,8,1,5,0,22,5
org.jfree.chart.renderer.xy.XYStepAreaRenderer,19,3,2,0,58,62
org.jfree.chart.renderer.xy.XYStepAreaRendererTest,10,1,6,0,32,6
org.jfree.chart.renderer.xy.XYStepRenderer,21,4,1,0,40,28
org.jfree.chart.renderer.xy.XYStepRendererTest,10,1,7,0,30,7
org.jfree.chart.renderer.xy.YIntervalRenderer,21,3,2,0,52,18
org.jfree.chart.renderer.xy.YIntervalRendererTest,19,1,5,0,47,6
org.jfree.chart.swing.AbstractOverlay,5,1,1,1,12,7
org.jfree.chart.swing.ApplicationFrame,0,6,7,0,13,9
org.jfree.chart.swing.ChartFrame,2,6,1,0,8,4
org.jfree.chart.swing.ChartMouseEvent,5,2,3,0,5,4
org.jfree.chart.swing.ChartMouseListener,n/a,n/a,n/a,n/a,2,n/a
org.jfree.chart.swing.ChartPanel,31,5,7,1,336,272
org.jfree.chart.swing.ChartPanelTest,12,1,7,0,71,19
org.jfree.chart.swing.CrosshairOverlay,17,2,2,0,90,83
org.jfree.chart.swing.CrosshairOverlayTest,4,1,2,0,17,3
org.jfree.chart.swing.DefaultSelectionZoomStrategy,3,1,2,0,40,27
org.jfree.chart.swing.MouseWheelHandler,7,1,1,0,22,12
org.jfree.chart.swing.NumberCellRenderer,1,6,1,0,10,4
org.jfree.chart.swing.Overlay,n/a,n/a,n/a,n/a,3,n/a
org.jfree.chart.swing.OverlayChangeEvent,3,2,0,0,2,1
org.jfree.chart.swing.OverlayChangeListener,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.swing.PolarChartPanel,5,6,2,0,32,18
org.jfree.chart.swing.SelectionZoomStrategy,n/a,n/a,n/a,n/a,15,n/a
org.jfree.chart.swing.UIUtils,1,1,5,0,38,13
org.jfree.chart.swing.editor.ChartEditor,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.swing.editor.ChartEditorFactory,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.swing.editor.ChartEditorManager,6,1,1,0,7,4
org.jfree.chart.swing.editor.DefaultAxisEditor,12,5,3,1,74,28
org.jfree.chart.swing.editor.DefaultChartEditor,11,5,1,0,50,11
org.jfree.chart.swing.editor.DefaultChartEditorFactory,5,1,1,0,3,2
org.jfree.chart.swing.editor.DefaultLogAxisEditor,6,7,1,0,34,12
org.jfree.chart.swing.editor.DefaultNumberAxisEditor,7,7,1,0,42,12
org.jfree.chart.swing.editor.DefaultPlotEditor,18,5,1,1,90,67
org.jfree.chart.swing.editor.DefaultPolarPlotEditor,7,6,2,0,39,14
org.jfree.chart.swing.editor.DefaultTitleEditor,8,5,1,0,57,19
org.jfree.chart.swing.editor.DefaultValueAxisEditor,9,6,2,2,65,33
org.jfree.chart.swing.editor.FontChooserPanel,2,5,1,0,39,15
org.jfree.chart.swing.editor.FontDisplayField,2,6,1,0,11,5
org.jfree.chart.swing.editor.LCBLayout,7,1,5,0,17,28
org.jfree.chart.swing.editor.PaintSample,5,4,2,0,15,5
org.jfree.chart.swing.editor.StrokeChooserPanel,4,5,1,0,16,4
org.jfree.chart.swing.editor.StrokeSample,3,4,2,0,22,8
org.jfree.chart.text.AttributedStringUtils,2,1,1,0,8,9
org.jfree.chart.text.G2TextMeasurer,6,1,1,0,6,2
org.jfree.chart.text.TextAnchor,51,n/a,3,n/a,10,8
org.jfree.chart.text.TextBlock,17,1,1,0,31,27
org.jfree.chart.text.TextBlockAnchor,12,n/a,2,n/a,2,0
org.jfree.chart.text.TextBox,9,1,1,0,61,47
org.jfree.chart.text.TextFragment,7,1,1,0,43,28
org.jfree.chart.text.TextLine,8,1,1,0,33,24
org.jfree.chart.text.TextMeasurer,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.text.TextUtils,38,1,3,0,89,76
org.jfree.chart.text.format.HMSNumberFormat,1,3,2,0,8,4
org.jfree.chart.text.format.HMSNumberFormatTest,1,1,1,0,4,1
org.jfree.chart.text.format.HexNumberFormat,0,3,2,0,14,9
org.jfree.chart.text.format.LogFormat,2,3,2,0,20,20
org.jfree.chart.text.format.LogFormatTest,3,1,4,0,16,4
org.jfree.chart.text.format.RelativeDateFormat,2,3,2,0,46,46
org.jfree.chart.text.format.RelativeDateFormatTest,1,1,7,0,40,8
org.jfree.chart.title.CompositeTitle,13,3,2,0,40,18
org.jfree.chart.title.CompositeTitleTest,9,1,3,0,31,5
org.jfree.chart.title.DateTitle,7,4,1,0,12,5
org.jfree.chart.title.DateTitleTest,4,1,4,0,19,4
org.jfree.chart.title.ImageTitle,9,3,1,0,49,30
org.jfree.chart.title.ImageTitleTest,0,1,1,0,1,1
org.jfree.chart.title.ShortTextTitle,9,4,2,0,41,24
org.jfree.chart.title.ShortTextTitleTest,4,1,4,0,15,4
org.jfree.chart.title.TextTitle,38,3,1,2,101,99
org.jfree.chart.title.TextTitleTest,4,1,4,0,27,4
org.jfree.chart.title.Title,30,2,3,5,38,36
org.jfree.chart.title.TitleTest,5,1,2,0,11,2
org.jfree.chart.urls.CategoryURLGenerator,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.urls.CustomCategoryURLGenerator,4,1,1,0,16,22
org.jfree.chart.urls.CustomCategoryURLGeneratorTest,4,1,5,0,23,5
org.jfree.chart.urls.CustomPieURLGenerator,5,1,1,0,22,20
org.jfree.chart.urls.CustomPieURLGeneratorTest,4,1,4,0,16,4
org.jfree.chart.urls.CustomXYURLGenerator,4,1,1,0,18,22
org.jfree.chart.urls.CustomXYURLGeneratorTest,4,1,5,0,23,5
org.jfree.chart.urls.PieURLGenerator,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.urls.StandardCategoryURLGenerator,15,1,1,0,18,16
org.jfree.chart.urls.StandardCategoryURLGeneratorTest,4,1,4,0,14,4
org.jfree.chart.urls.StandardPieURLGenerator,6,1,1,0,13,13
org.jfree.chart.urls.StandardPieURLGeneratorTest,4,1,4,0,14,4
org.jfree.chart.urls.StandardXYURLGenerator,7,1,1,1,8,11
org.jfree.chart.urls.StandardXYURLGeneratorTest,3,1,2,0,6,2
org.jfree.chart.urls.StandardXYZURLGenerator,4,2,1,0,2,1
org.jfree.chart.urls.TimeSeriesURLGenerator,6,1,1,0,22,17
org.jfree.chart.urls.TimeSeriesURLGeneratorTest,4,1,4,0,16,4
org.jfree.chart.urls.XYURLGenerator,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.urls.XYZURLGenerator,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.util.AttrStringUtils,5,1,2,0,33,32
org.jfree.chart.util.DefaultShadowGenerator,7,1,1,0,30,28
org.jfree.chart.util.DirectionalGradientPaintTransformer,1,1,1,0,16,10
org.jfree.chart.util.ExportUtils,2,1,4,0,24,8
org.jfree.chart.util.GradientPaintTransformType,10,n/a,2,n/a,2,0
org.jfree.chart.util.GradientPaintTransformer,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.util.PaintAlpha,1,1,1,0,57,27
org.jfree.chart.util.ShadowGenerator,n/a,n/a,n/a,n/a,3,n/a
org.jfree.chart.util.StandardGradientPaintTransformer,19,1,1,0,22,16
org.jfree.chart.util.StringUtils,2,1,3,0,7,6
org.jfree.data.ComparableObjectItem,16,1,2,5,14,13
org.jfree.data.ComparableObjectItemTest,3,1,5,0,17,5
org.jfree.data.ComparableObjectSeries,22,2,1,6,45,50
org.jfree.data.ComparableObjectSeriesTest,5,1,5,0,25,5
org.jfree.data.ComparableObjectSeriesTest.MyComparableObjectSeries,3,3,2,0,8,4
org.jfree.data.DataUtils,13,1,6,0,21,32
org.jfree.data.DataUtilsTest,3,1,3,0,21,7
org.jfree.data.DatasetChangeConfirmation,6,1,1,0,1,1
org.jfree.data.DefaultKeyedValue,6,1,2,0,14,13
org.jfree.data.DefaultKeyedValueTest,3,1,5,0,18,5
org.jfree.data.DefaultKeyedValues,16,1,1,0,52,43
org.jfree.data.DefaultKeyedValues2D,13,1,1,0,55,56
org.jfree.data.DefaultKeyedValues2DTest,4,1,13,0,39,14
org.jfree.data.DefaultKeyedValuesTest,5,1,16,0,48,18
org.jfree.data.DomainInfo,n/a,n/a,n/a,n/a,3,n/a
org.jfree.data.DomainOrder,13,n/a,2,n/a,2,0
org.jfree.data.DomainOrderTest,2,1,1,0,9,3
org.jfree.data.ItemKey,n/a,n/a,n/a,n/a,1,n/a
org.jfree.data.KeyToGroupMap,7,1,1,0,40,34
org.jfree.data.KeyToGroupMapTest,3,1,8,0,23,8
org.jfree.data.KeyedObject,3,1,2,0,11,12
org.jfree.data.KeyedObjectTest,4,1,4,0,15,4
org.jfree.data.KeyedObjects,6,1,1,0,35,37
org.jfree.data.KeyedObjects2D,8,1,1,0,47,56
org.jfree.data.KeyedObjects2DTest,4,1,11,0,33,11
org.jfree.data.KeyedObjectsTest,5,1,10,0,31,10
org.jfree.data.KeyedValue,n/a,n/a,n/a,n/a,1,n/a
org.jfree.data.KeyedValueComparator,6,1,1,0,11,18
org.jfree.data.KeyedValueComparatorType,2,n/a,2,n/a,2,0
